ID,Physics,Digital Logic Design,Comp. Organization & Assembly Lang.,Operating Systems,Computer Architecture
11K-2346,1.67,2,1,3.67,1
55K-1401,2.67,2,2,2,2.33
55K-1404,3,4,3.33,3.67,3
55K-1406,2.67,3,3.33,3,3.33
55K-1408,3,3.33,3,3,3
55K-1409,3,3.33,3.33,3,2.67
55K-1411,2.67,2.67,1.67,2.67,2
55K-1412,2.33,2.67,4,1.67,1.33
55K-1414,4,4,3.33,3,4
55K-1416,2.33,2,2.67,2.67,1
55K-1417,4.67,2.67,2.33,2,1.33
55K-1421,2,2.67,2.67,2.33,1
55K-1423,1.67,2.67,1,2.33,1.67
55K-1424,2.67,3.33,2.67,2.67,2
55K-1425,2.33,3,3.33,2.33,1.33
55K-1427,4,3,2.33,2.67,2.33
55K-1429,2,3,2,3,3
55K-1430,2,3,3,2.67,1.33
55K-1431,4,4,3.67,4,4
55K-1432,1,3,3.33,2.33,2
55K-1434,3.67,3,3.33,1.67,1.67
55K-1437,2.67,3.67,3.67,2.67,2.67
55K-1438,2,2.67,1.33,1.33,1
55K-1439,3,3.33,3.33,3.33,4
55K-1441,3.67,3,4,3,3.33
55K-1442,2.67,3.67,4,3,2.33
55K-1443,2.33,3,3,1.33,2.67
55K-1444,3.33,4,4,3,1.67
55K-1445,2,3,2.67,2.33,1.67
55K-1447,5.67,2.33,2.67,3,3
55K-1449,3,3,4,2,1.67
55K-1451,2,3,3.33,2,2.33
55K-1454,3.33,3,4,2.33,1
55K-1455,2,3,2.33,2.67,3
55K-1456,2,3,1,2.67,1.33
55K-1457,2,2.33,2.33,1.33,2
55K-1458,3,3.33,3.33,3,3
55K-1460,0,2.33,1.67,2,1.67
55K-1461,4,4,4,4,2.67
55K-1463,2,3.33,2.33,3,2
55K-1465,3,3.33,4,3,3.33
55K-1466,2.33,3,2,2.33,2.33
55K-1467,3.67,3.33,3.33,3.33,2.67
55K-1468,2.33,3,3.67,2.33,3
55K-1469,3.67,3,3.33,2.33,2.33
55K-1471,1.67,2.33,1.33,2,1
55K-1473,4,3.67,4,3.67,4
55K-1474,1.67,3.67,3.67,3,3.33
55K-1475,4,3.33,3.33,3,2.67
55K-1478,4,3.33,3,4,3.67
55K-1480,2.67,2.67,4,3,2.67
55K-1482,2.66,2.67,1,2.33,1.67
55K-1483,3.33,3.33,4,3.33,2.67
55K-1485,1.67,2.67,3,2.67,2
55K-1487,2.33,1.67,2,4.67,1
55K-1490,1.33,2.33,1,2.33,1.33
55K-1491,2.33,3,1,2.33,1.33
55K-1494,7.67,4,4,3.33,3
55K-1495,1.67,2.67,3.33,2,1.67
55K-1496,3,4,4,3.33,4
55K-1497,2.66,2.33,3,3,2.67
55K-1500,4.66,3,3,3.67,3.67
55K-1503,2,2.33,1,4.67,1
55K-1504,3,3.33,3.67,4,3.33
55K-1505,2.67,3,3.33,2,2.67
55K-1506,2.33,2.33,1,2.67,2.33
55K-1507,2.66,2.67,2.67,3.33,2
55K-1508,2.67,3,2.67,2,2.33
55K-1509,3.33,3,1.33,3,2.33
55K-1512,2.67,3,3,2,2.33
55K-1515,2,2.33,2,3.67,2.67
55K-1516,3.34,2.33,2.67,2,2
55K-1517,3,3,2.33,2,1.67
55K-1518,3.33,2.67,3,1,1.33
55K-1519,3.33,3.33,4,3,2.67
55K-1520,2,2.67,2.67,2.33,2
55K-1521,1.33,2.67,4,2.67,2
55K-1525,2.33,3,1,1,1
55K-1528,4,3,3.67,2.33,3
55K-1529,2.67,3,4,2.67,1.67
55K-1531,3.67,4,3,3.67,2.67
55K-1532,1,2.33,1,3,2.67
55K-1535,1.33,2.33,2.67,2,2
55K-1536,2.67,3,2,2,2.67
55K-1537,3.67,3,3.33,2.33,1.33
55K-1540,4,3,3,2.67,2.33
55K-1543,1.33,2.33,2.67,1.33,1
55K-1547,1.67,2.67,2.33,2.33,1
55K-1548,3,2,2.33,2.33,2
55K-1549,3.67,3,2.67,2.67,2.67
55K-1551,2,3,2.67,2,1.67
55K-1553,2.33,2.67,2.33,2,1.33
55K-1562,4,4,4,4,3.67
55K-1565,2.33,3.67,3.33,1.33,1
55K-1567,1.33,3,1.33,2.67,1
55K-1568,6.33,2.67,1.67,1.67,2.33
55K-1570,4,3.67,4,2.67,2.67
55K-1577,3,3,3,2.33,2.67
55K-1580,1.33,3,1,3,2
55K-1582,4.67,2.67,3,1.33,1
55K-1586,2,2.33,3,2.67,1.67
55K-1589,3.33,2,2.67,2.33,3
55K-1593,3.67,3,2,2.33,1.67
55K-1597,3.33,3,2.33,3,2.33
55K-1598,3.33,3,2.33,2.33,2.33
55K-1600,2,3,2,2.67,1.67
55K-1601,4.34,2.67,1,3,1.33
55K-1603,3.67,3,2.67,1.67,1.33
55K-1605,3,3,1,2.33,2.33
55K-1606,4.33,2.33,1,1.67,1.33
55K-1607,3,3,4.33,1.33,1.67
55K-1608,4,3,4,2.33,2.33
55K-1609,6,2.67,1,2,1.67
55K-1610,3.33,3.33,3.33,3.67,3.67
55K-1753,2.67,2.67,2.33,1.67,1.67
56K-1401,4,2.67,2.33,2.33,3.33
56K-1402,1.67,2.33,4,1,2.33
