Roll No,Program,Course,Course Title,Credit Hrs.,GP,Grade,Sem.,Num of Semester,Batch,Num of Semester - Formulae
55K-1401,BS(CS),CS102,Introduction to Computer Science,4,2.33,C+,Fa 2009,1,2009,1
55K-1401,BS(CS),MT101,Calculus - I,3,1.33,D+,Fa 2009,1,2009,1
55K-1401,BS(CS),NS101,Physics - I,3,2.67,B-,Fa 2009,1,2009,1
55K-1401,BS(CS),SS102,English Language,4,3.33,B+,Fa 2009,1,2009,1
55K-1401,BS(CS),SS113,Pakistan Studies,3,3.67,A-,Fa 2009,1,2009,1
55K-1401,BS(CS),CS104,Computer Programming,4,2,C,Sp 2010,2,2009,2
55K-1401,BS(CS),EE109,Digital Logic Design,4,2,C,Sp 2010,2,2009,2
55K-1401,BS(CS),MT115,Calculus - II,3,1,D,Sp 2010,2,2009,2
55K-1401,BS(CS),NS103,Physics - II,3,2.33,C+,Sp 2010,2,2009,2
55K-1401,BS(CS),SS122,English Composition,3,3.33,B+,Sp 2010,2,2009,2
55K-1401,BS(CS),CS201,Data Structures,3,1.67,C-,Fa 2010,3,2009,3
55K-1401,BS(CS),EE218,Comp. Organization & Assembly Lang.,4,2,C,Fa 2010,3,2009,3
55K-1401,BS(CS),MT104,Linear Algebra,3,1.33,D+,Fa 2010,3,2009,3
55K-1401,BS(CS),MT217,Discrete Structures,3,1,D,Fa 2010,3,2009,3
55K-1401,BS(CS),SS111,Islamic & Religious Studies,3,3,B,Fa 2010,3,2009,3
55K-1401,BS(CS),CS206,Operating Systems,4,2,C,Sp 2011,4,2009,4
55K-1401,BS(CS),CS301,Theory of Automata,3,2,C,Sp 2011,4,2009,4
55K-1401,BS(CS),MG103,Finance & Accounting,3,2.33,C+,Sp 2011,4,2009,4
55K-1401,BS(CS),MT203,Differential Equations,3,2,C,Sp 2011,4,2009,4
55K-1401,BS(CS),MT206,Probability & Statistics,4,3.33,B+,Sp 2011,4,2009,4
55K-1401,BS(CS),CS204,Database Systems,4,2.67,B-,Fa 2011,5,2009,5
55K-1401,BS(CS),CS313,Object Oriented Analysis & Design,4,3,B,Fa 2011,5,2009,5
55K-1401,BS(CS),CS314,Computer Networks,4,2,C,Fa 2011,5,2009,5
55K-1401,BS(CS),CS498,Information Systems Security,3,4,A,Fa 2011,5,2009,5
55K-1401,BS(CS),MT207,Numerical Methods,3,3,B,Fa 2011,5,2009,5
55K-1401,BS(CS),CS302,Design & Analysis of Algorithms,3,2.67,B-,Sp 2012,6,2009,6
55K-1401,BS(CS),CS303,Software Engineering,3,3,B,Sp 2012,6,2009,6
55K-1401,BS(CS),CS494,IS Audit & Control,3,2.67,B-,Sp 2012,6,2009,6
55K-1401,BS(CS),EE204,Computer Architecture,3,2.33,C+,Sp 2012,6,2009,6
55K-1401,BS(CS),SS108,Technical and Business Writing,3,3.33,B+,Sp 2012,6,2009,6
55K-1401,BS(CS),CS401,Artificial Intelligence,3,1.67,C-,Fa 2012,7,2009,7
55K-1401,BS(CS),CS422,Human Computer Interaction,3,3,B,Fa 2012,7,2009,7
55K-1401,BS(CS),CS491,Project - I,3,4,A,Fa 2012,7,2009,7
55K-1401,BS(CS),MG316,Project Management,3,2.33,C+,Fa 2012,7,2009,7
55K-1401,BS(CS),SS201,Professional Issues in IT,3,2.67,B-,Fa 2012,7,2009,7
55K-1401,BS(CS),CS408,Data Warehousing,3,3,B,Sp 2013,8,2009,8
55K-1401,BS(CS),CS411,Network Security,3,1.33,D+,Sp 2013,8,2009,8
55K-1401,BS(CS),CS492,Project - II,3,3.33,B+,Sp 2013,8,2009,8
55K-1401,BS(CS),CS518,Software Quality Assurance,3,3,B,Sp 2013,8,2009,8
55K-1401,BS(CS),MG583,E-Marketing,3,3,B,Sp 2013,8,2009,8
55K-1404,BS(CS),CS102,Introduction to Computer Science,4,4,A+,Fa 2009,1,2009,1
55K-1404,BS(CS),MT101,Calculus - I,3,2.67,B-,Fa 2009,1,2009,1
55K-1404,BS(CS),NS101,Physics - I,3,3,B,Fa 2009,1,2009,1
55K-1404,BS(CS),SS102,English Language,4,3.33,B+,Fa 2009,1,2009,1
55K-1404,BS(CS),SS113,Pakistan Studies,3,3,B,Fa 2009,1,2009,1
55K-1404,BS(CS),CS104,Computer Programming,4,3,B,Sp 2010,2,2009,2
55K-1404,BS(CS),EE109,Digital Logic Design,4,4,A,Sp 2010,2,2009,2
55K-1404,BS(CS),MT115,Calculus - II,3,4,A+,Sp 2010,2,2009,2
55K-1404,BS(CS),NS103,Physics - II,3,4,A,Sp 2010,2,2009,2
55K-1404,BS(CS),SS122,English Composition,3,3.67,A-,Sp 2010,2,2009,2
55K-1404,BS(CS),CS201,Data Structures,3,3.67,A-,Fa 2010,3,2009,3
55K-1404,BS(CS),EE218,Comp. Organization & Assembly Lang.,4,3.33,B+,Fa 2010,3,2009,3
55K-1404,BS(CS),MT104,Linear Algebra,3,3.33,B+,Fa 2010,3,2009,3
55K-1404,BS(CS),MT217,Discrete Structures,3,2.67,B-,Fa 2010,3,2009,3
55K-1404,BS(CS),SS111,Islamic & Religious Studies,3,2,C,Fa 2010,3,2009,3
55K-1404,BS(CS),CS206,Operating Systems,4,3.67,A-,Sp 2011,4,2009,4
55K-1404,BS(CS),CS301,Theory of Automata,3,4,A+,Sp 2011,4,2009,4
55K-1404,BS(CS),MG103,Finance & Accounting,3,3.33,B+,Sp 2011,4,2009,4
55K-1404,BS(CS),MT203,Differential Equations,3,4,A,Sp 2011,4,2009,4
55K-1404,BS(CS),MT206,Probability & Statistics,4,3.67,A-,Sp 2011,4,2009,4
55K-1404,BS(CS),CS204,Database Systems,4,4,A,Fa 2011,5,2009,5
55K-1404,BS(CS),CS313,Object Oriented Analysis & Design,4,4,A,Fa 2011,5,2009,5
55K-1404,BS(CS),CS314,Computer Networks,4,3.67,A-,Fa 2011,5,2009,5
55K-1404,BS(CS),CS498,Information Systems Security,3,4,A,Fa 2011,5,2009,5
55K-1404,BS(CS),MG210,Technology Management,3,2.33,C+,Fa 2011,5,2009,5
55K-1404,BS(CS),CS302,Design & Analysis of Algorithms,3,4,A+,Sp 2012,6,2009,6
55K-1404,BS(CS),CS303,Software Engineering,3,3,B,Sp 2012,6,2009,6
55K-1404,BS(CS),CS402,Compiler Construction,3,3,B,Sp 2012,6,2009,6
55K-1404,BS(CS),EE204,Computer Architecture,3,3,B,Sp 2012,6,2009,6
55K-1404,BS(CS),SS108,Technical and Business Writing,3,3,B,Sp 2012,6,2009,6
55K-1404,BS(CS),CS401,Artificial Intelligence,3,3,B,Fa 2012,7,2009,7
55K-1404,BS(CS),CS422,Human Computer Interaction,3,2.33,C+,Fa 2012,7,2009,7
55K-1404,BS(CS),CS491,Project - I,3,3.33,B+,Fa 2012,7,2009,7
55K-1404,BS(CS),MG316,Project Management,3,2.33,C+,Fa 2012,7,2009,7
55K-1404,BS(CS),SS201,Professional Issues in IT,3,3,B,Fa 2012,7,2009,7
55K-1404,BS(CS),CS310,Management Info. Systems,3,3.67,A-,Sp 2013,8,2009,8
55K-1404,BS(CS),CS408,Data Warehousing,3,2.67,B-,Sp 2013,8,2009,8
55K-1404,BS(CS),CS492,Project - II,3,3.33,B+,Sp 2013,8,2009,8
55K-1404,BS(CS),CS559,High Performance Computing,3,3,B,Sp 2013,8,2009,8
55K-1404,BS(CS),MG435,Management & Organizational Behavior,3,1.33,D+,Sp 2013,8,2009,8
55K-1405,BS(CS),CS102,Introduction to Computer Science,4,1,D,Fa 2009,1,2009,1
55K-1405,BS(CS),MT101,Calculus - I,3,2,C,Fa 2009,1,2009,1
55K-1405,BS(CS),NS101,Physics - I,3,1.33,D+,Fa 2009,1,2009,1
55K-1405,BS(CS),SS102,English Language,4,3.33,B+,Fa 2009,1,2009,1
55K-1405,BS(CS),SS113,Pakistan Studies,3,2.33,C+,Fa 2009,1,2009,1
55K-1406,BS(CS),CS102,Introduction to Computer Science,4,3.67,A-,Fa 2009,1,2009,1
55K-1406,BS(CS),MT101,Calculus - I,3,3.33,B+,Fa 2009,1,2009,1
55K-1406,BS(CS),NS101,Physics - I,3,2.67,B-,Fa 2009,1,2009,1
55K-1406,BS(CS),SS102,English Language,4,2,C,Fa 2009,1,2009,1
55K-1406,BS(CS),SS113,Pakistan Studies,3,2.67,B-,Fa 2009,1,2009,1
55K-1406,BS(CS),CS104,Computer Programming,4,3,B,Sp 2010,2,2009,2
55K-1406,BS(CS),EE109,Digital Logic Design,4,3,B,Sp 2010,2,2009,2
55K-1406,BS(CS),MT115,Calculus - II,3,1.67,C-,Sp 2010,2,2009,2
55K-1406,BS(CS),NS103,Physics - II,3,2.67,B-,Sp 2010,2,2009,2
55K-1406,BS(CS),SS122,English Composition,3,1.33,D+,Sp 2010,2,2009,2
55K-1406,BS(CS),CS201,Data Structures,3,3,B,Fa 2010,3,2009,3
55K-1406,BS(CS),EE218,Comp. Organization & Assembly Lang.,4,3.33,B+,Fa 2010,3,2009,3
55K-1406,BS(CS),MT104,Linear Algebra,3,2.33,C+,Fa 2010,3,2009,3
55K-1406,BS(CS),MT217,Discrete Structures,3,2.33,C+,Fa 2010,3,2009,3
55K-1406,BS(CS),SS111,Islamic & Religious Studies,3,2.33,C+,Fa 2010,3,2009,3
55K-1406,BS(CS),CS206,Operating Systems,4,3,B,Sp 2011,4,2009,4
55K-1406,BS(CS),CS301,Theory of Automata,3,3.33,B+,Sp 2011,4,2009,4
55K-1406,BS(CS),MG103,Finance & Accounting,3,2.67,B-,Sp 2011,4,2009,4
55K-1406,BS(CS),MT203,Differential Equations,3,2.67,B-,Sp 2011,4,2009,4
55K-1406,BS(CS),MT206,Probability & Statistics,4,3,B,Sp 2011,4,2009,4
55K-1406,BS(CS),CS204,Database Systems,4,3.33,B+,Fa 2011,5,2009,5
55K-1406,BS(CS),CS313,Object Oriented Analysis & Design,4,3,B,Fa 2011,5,2009,5
55K-1406,BS(CS),CS314,Computer Networks,4,1.67,C-,Fa 2011,5,2009,5
55K-1406,BS(CS),CS498,Information Systems Security,3,3.67,A-,Fa 2011,5,2009,5
55K-1406,BS(CS),MT207,Numerical Methods,3,2.67,B-,Fa 2011,5,2009,5
55K-1406,BS(CS),CS302,Design & Analysis of Algorithms,3,3.33,B+,Sp 2012,6,2009,6
55K-1406,BS(CS),CS303,Software Engineering,3,3,B,Sp 2012,6,2009,6
55K-1406,BS(CS),CS402,Compiler Construction,3,2.67,B-,Sp 2012,6,2009,6
55K-1406,BS(CS),EE204,Computer Architecture,3,3.33,B+,Sp 2012,6,2009,6
55K-1406,BS(CS),SS108,Technical and Business Writing,3,2.67,B-,Sp 2012,6,2009,6
55K-1406,BS(CS),CS401,Artificial Intelligence,3,3.33,B+,Fa 2012,7,2009,7
55K-1406,BS(CS),CS422,Human Computer Interaction,3,2,C,Fa 2012,7,2009,7
55K-1406,BS(CS),CS491,Project - I,3,4,A,Fa 2012,7,2009,7
55K-1406,BS(CS),MG316,Project Management,3,3.67,A-,Fa 2012,7,2009,7
55K-1406,BS(CS),SS201,Professional Issues in IT,3,2.67,B-,Fa 2012,7,2009,7
55K-1406,BS(CS),CS310,Management Info. Systems,3,3.33,B+,Sp 2013,8,2009,8
55K-1406,BS(CS),CS408,Data Warehousing,3,3,B,Sp 2013,8,2009,8
55K-1406,BS(CS),CS492,Project - II,3,4,A,Sp 2013,8,2009,8
55K-1406,BS(CS),CS531,Machine Learning,3,3,B,Sp 2013,8,2009,8
55K-1406,BS(CS),MG435,Management & Organizational Behavior,3,2.33,C+,Sp 2013,8,2009,8
55K-1407,BS(CS),CS102,Introduction to Computer Science,4,0,W,Fa 2009,1,2009,1
55K-1407,BS(CS),MT101,Calculus - I,3,0,W,Fa 2009,1,2009,1
55K-1407,BS(CS),NS101,Physics - I,3,1,D,Fa 2009,1,2009,1
55K-1407,BS(CS),SS102,English Language,4,2,C,Fa 2009,1,2009,1
55K-1407,BS(CS),SS113,Pakistan Studies,3,2,C,Fa 2009,1,2009,1
55K-1407,BS(CS),CS102,Introduction to Computer Science,4,0,W,Sp 2010,2,2009,2
55K-1407,BS(CS),EE109,Digital Logic Design,4,2.33,C+,Sp 2010,2,2009,2
55K-1407,BS(CS),MT101,Calculus - I,3,1,D,Sp 2010,2,2009,2
55K-1407,BS(CS),SS111,Islamic & Religious Studies,3,2.33,C+,Sp 2010,2,2009,2
55K-1408,BS(CS),CS102,Introduction to Computer Science,4,3.33,B+,Fa 2009,1,2009,1
55K-1408,BS(CS),MT101,Calculus - I,3,2.67,B-,Fa 2009,1,2009,1
55K-1408,BS(CS),NS101,Physics - I,3,3,B,Fa 2009,1,2009,1
55K-1408,BS(CS),SS102,English Language,4,2.67,B-,Fa 2009,1,2009,1
55K-1408,BS(CS),SS113,Pakistan Studies,3,3.67,A-,Fa 2009,1,2009,1
55K-1408,BS(CS),CS104,Computer Programming,4,3,B,Sp 2010,2,2009,2
55K-1408,BS(CS),EE109,Digital Logic Design,4,3.33,B+,Sp 2010,2,2009,2
55K-1408,BS(CS),MT115,Calculus - II,3,2.67,B-,Sp 2010,2,2009,2
55K-1408,BS(CS),NS103,Physics - II,3,3,B,Sp 2010,2,2009,2
55K-1408,BS(CS),SS122,English Composition,3,3,B,Sp 2010,2,2009,2
55K-1408,BS(CS),CS201,Data Structures,3,2,C,Fa 2010,3,2009,3
55K-1408,BS(CS),EE218,Comp. Organization & Assembly Lang.,4,3,B,Fa 2010,3,2009,3
55K-1408,BS(CS),MT104,Linear Algebra,3,2.33,C+,Fa 2010,3,2009,3
55K-1408,BS(CS),MT217,Discrete Structures,3,1.33,D+,Fa 2010,3,2009,3
55K-1408,BS(CS),SS111,Islamic & Religious Studies,3,3,B,Fa 2010,3,2009,3
55K-1408,BS(CS),CS206,Operating Systems,4,3,B,Sp 2011,4,2009,4
55K-1408,BS(CS),CS301,Theory of Automata,3,3,B,Sp 2011,4,2009,4
55K-1408,BS(CS),MG103,Finance & Accounting,3,2.67,B-,Sp 2011,4,2009,4
55K-1408,BS(CS),MT203,Differential Equations,3,2.67,B-,Sp 2011,4,2009,4
55K-1408,BS(CS),MT206,Probability & Statistics,4,2.33,C+,Sp 2011,4,2009,4
55K-1408,BS(CS),CS204,Database Systems,4,3,B,Fa 2011,5,2009,5
55K-1408,BS(CS),CS313,Object Oriented Analysis & Design,4,2.33,C+,Fa 2011,5,2009,5
55K-1408,BS(CS),CS314,Computer Networks,4,2.67,B-,Fa 2011,5,2009,5
55K-1408,BS(CS),CS423,Information Processing Techniques,3,3.33,B+,Fa 2011,5,2009,5
55K-1408,BS(CS),MG210,Technology Management,3,3.33,B+,Fa 2011,5,2009,5
55K-1408,BS(CS),CS302,Design & Analysis of Algorithms,3,3.33,B+,Sp 2012,6,2009,6
55K-1408,BS(CS),CS303,Software Engineering,3,3,B,Sp 2012,6,2009,6
55K-1408,BS(CS),CS402,Compiler Construction,3,3.33,B+,Sp 2012,6,2009,6
55K-1408,BS(CS),EE204,Computer Architecture,3,3,B,Sp 2012,6,2009,6
55K-1408,BS(CS),SS108,Technical and Business Writing,3,3.33,B+,Sp 2012,6,2009,6
55K-1408,BS(CS),CS422,Human Computer Interaction,3,2.33,C+,Fa 2012,7,2009,7
55K-1408,BS(CS),CS428,Concurrent & Distributed Systems,3,3.33,B+,Fa 2012,7,2009,7
55K-1408,BS(CS),CS491,Project - I,3,3.67,A-,Fa 2012,7,2009,7
55K-1408,BS(CS),MG316,Project Management,3,3.67,A-,Fa 2012,7,2009,7
55K-1408,BS(CS),SS201,Professional Issues in IT,3,3.67,A-,Fa 2012,7,2009,7
55K-1408,BS(CS),CS310,Management Info. Systems,3,3.67,A-,Sp 2013,8,2009,8
55K-1408,BS(CS),CS408,Data Warehousing,3,3,B,Sp 2013,8,2009,8
