ID,Introduction to Computer Science,Computer Programming,Data Structures,Database Systems
56K-1481,4,3.67,2.33,2.33
55K-1608,2.67,2.33,2.67,2.67
55K-1503,2.33,2.33,2.33,2
85K-2310,2.67,2.67,1.67,4
56K-1448,3.67,2.67,2,1.67
55K-1434,2.67,2.33,3,2
86K-2166,1.33,3,2.33,2.67
86K-2067,1,2.67,2,3
56K-1627,3.67,1.67,2,1.67
86K-2198,2.67,2.67,1.33,2
85K-2023,3,3,2.67,3.33
85K-2066,2.33,2,2.33,3
85K-2362,2,1,2.67,3
85K-2088,2.33,1.33,1.33,3
85K-2314,2.67,1.33,2,3.33
55K-1408,3.33,3,2,3
85K-2007,2.33,2,2,2
85K-2213,3,1,2,2.33
56K-1560,2.67,2,1.67,2
86K-2202,1.67,1.67,4,3
86K-2111,2,2.67,3,1.67
85K-2338,1.67,2.33,1,2.33
85K-2150,2.33,1.67,1.33,2
85K-2234,2.67,2,1.33,2.67
55K-1597,4,2.67,3,2.33
56K-1449,2.67,2.67,3.33,3
85K-2249,2,2.33,1,3
85K-2297,2,1.67,4,2.33
86K-2284,1.33,2.67,1.67,2.67
85K-2038,2.33,3.33,1.33,2.67
56K-1422,2.33,2,3,2
85K-2169,3.33,1.33,3.67,4
56K-1614,2,1.67,1.33,1.67
86K-2078,1,3.33,2.67,2.67
55K-1475,4,2.67,1.67,2.67
85K-2139,2.33,1.67,1.33,3.33
56K-1527,2,2.67,3,2
85K-2243,3.67,2.67,3,3.67
85K-2176,2.33,2.33,2.67,3.33
56K-1635,1,1.67,2,2.33
55K-1496,4,3.33,4,3.67
55K-1418,1.33,1,2.33,2.33
85K-2200,3,2.33,2.33,2
85K-2142,3,1.33,1.67,2
85K-2085,2.67,1,2,3
85K-2355,3,1.67,1.67,3.67
86K-2178,2.67,3,2.67,3.33
85K-2111,3.33,3.67,2.67,3
85K-2048,2,3.33,1.33,2
55K-1500,2,2.33,4,2.67
55K-1497,2.33,3,2.33,2.33
55K-1549,2,2.33,2,2.67
