ID,Calculus - I,Calculus - II,Linear Algebra,SUM1,Probability & Statistics
55K-1401,54,50,54,52.8,78
55K-1404,70,86,78,78,82
55K-1406,78,58,66,67.2,74
55K-1408,70,70,66,68.4,66
55K-1409,50,54,86,65.6,82
55K-1411,70,62,58,62.8,66
55K-1412,58,50,50,52.4,66
55K-1414,86,74,82,80.8,86
55K-1416,62,58,74,65.6,66
55K-1417,54,62,54,56.4,50
55K-1418,58,54,0,33.6,66
55K-1421,58,66,82,70,66
55K-1423,50,50,62,54.8,66
55K-1424,82,86,70,78.4,78
55K-1425,70,78,70,72.4,62
55K-1427,58,66,70,65.2,78
55K-1429,50,70,62,60.8,66
55K-1430,50,62,62,58.4,70
55K-1431,82,86,86,84.8,82
55K-1432,74,66,74,71.6,74
55K-1434,86,66,82,78.4,78
55K-1437,82,82,66,75.6,58
55K-1438,58,62,58,59.2,70
55K-1439,62,78,78,73.2,86
55K-1441,86,82,86,84.8,86
55K-1442,74,62,54,62.4,58
55K-1443,62,62,82,70,82
55K-1444,86,82,70,78.4,78
55K-1445,50,54,74,60.8,62
55K-1447,78,58,70,68.8,58
55K-1449,74,74,78,75.6,74
55K-1451,74,66,82,74.8,70
55K-1454,86,66,74,75.2,78
55K-1455,70,70,70,70,70
55K-1456,54,70,62,62,66
55K-1457,74,62,78,72,74
55K-1458,86,66,66,72,74
55K-1460,50,62,58,56.8,50
55K-1461,86,86,74,81.2,82
55K-1463,70,82,78,76.8,82
55K-1465,62,58,86,70.4,86
55K-1466,82,70,62,70.4,74
55K-1467,78,70,62,69.2,82
55K-1468,54,70,74,66.8,70
55K-1469,86,74,86,82.4,66
55K-1471,50,62,70,61.6,62
55K-1473,82,82,86,83.6,86
55K-1474,82,82,78,80.4,78
55K-1475,86,78,78,80.4,82
55K-1478,66,66,66,66,86
55K-1480,74,58,82,72.4,70
55K-1482,62,86,66,70.8,66
55K-1483,62,62,82,70,70
55K-1485,50,70,58,59.2,66
55K-1487,62,62,58,60.4,82
55K-1490,50,62,62,58.4,70
55K-1491,62,74,54,62.4,62
55K-1494,86,86,86,86,82
55K-1495,54,50,62,56,74
55K-1496,78,82,86,82.4,82
55K-1497,58,62,62,60.8,70
55K-1500,50,78,78,69.6,66
55K-1503,50,54,54,52.8,62
55K-1504,62,70,74,69.2,82
55K-1505,78,54,74,69.2,74
55K-1506,62,66,54,60,62
55K-1507,70,74,78,74.4,66
55K-1508,70,78,54,66,70
55K-1509,54,70,62,62,82
55K-1511,62,62,54,58.8,54
55K-1512,66,66,78,70.8,74
55K-1515,66,54,78,67.2,66
55K-1516,54,62,54,56.4,62
55K-1517,66,50,50,54.8,58
55K-1518,78,74,74,75.2,70
55K-1519,86,86,86,86,82
55K-1520,62,70,54,61.2,66
55K-1521,54,66,78,67.2,62
55K-1525,66,58,74,66.8,74
55K-1528,74,66,74,71.6,70
55K-1529,82,70,54,67.2,70
55K-1531,66,54,54,57.6,78
55K-1532,62,54,50,54.8,54
55K-1535,50,62,82,66.4,62
55K-1536,74,70,86,77.6,70
55K-1537,86,54,86,76.4,66
55K-1540,62,62,82,70,74
55K-1543,54,70,62,62,50
55K-1547,50,50,54,51.6,78
55K-1548,62,62,66,63.6,70
55K-1549,58,70,74,68,70
55K-1551,62,50,54,55.2,86
55K-1553,54,70,66,63.6,74
55K-1562,86,86,86,86,86
55K-1565,58,62,70,64,62
55K-1567,62,74,54,62.4,62
55K-1568,70,82,62,70.4,50
55K-1570,70,66,82,73.6,74
55K-1577,86,74,62,72.8,78
55K-1580,62,54,58,58,62
55K-1582,70,74,62,68,66
55K-1583,66,50,54,56.4,50
55K-1586,74,58,58,62.8,70
55K-1589,58,74,70,67.6,66
55K-1593,70,50,66,62.4,70
55K-1597,82,70,78,76.8,82
55K-1598,66,74,78,73.2,78
55K-1599,66,62,62,63.2,78
55K-1600,62,50,58,56.8,66
55K-1601,58,62,54,57.6,62
55K-1603,74,62,58,64,50
55K-1605,62,62,54,58.8,86
55K-1606,54,62,50,54.8,70
55K-1607,62,62,78,68.4,86
55K-1608,86,78,82,82,74
55K-1609,74,66,54,63.6,62
55K-1610,74,74,66,70.8,74
55K-1753,86,58,54,64.8,62
56K-1401,54,62,70,62.8,66
56K-1402,66,70,62,65.6,74
56K-1403,78,74,74,75.2,70
56K-1406,82,86,86,84.8,86
