ID,Introduction to Computer Science,Computer Programming,Data Structures,Database Systems
11K-2346,2.33,2.67,1.33,2.33
12K-2005,3,1.67,1,2.67
55K-1401,2.33,2,1.67,2.67
55K-1406,3.67,3,3,3.33
55K-1408,3.33,3,2,3
55K-1409,3.67,2.67,3.67,3.67
55K-1411,3.67,2.33,2.67,2.33
55K-1412,3.33,3.67,3,1.67
55K-1416,2,2,1.33,1.67
55K-1417,1.33,2.67,2.67,2
55K-1418,1.33,1,2.33,2.33
55K-1421,2,2.67,3.33,2.33
55K-1423,2.67,2.67,2.67,3
55K-1424,3,3,2.33,3.67
55K-1425,4,3,3,2
55K-1427,4,2.33,3,2.33
55K-1429,3,2.67,1.33,2.33
55K-1430,2.33,3,3.67,2.33
55K-1431,4,4,4,4
55K-1432,2.33,2.67,2.67,2.33
55K-1434,2.67,2.33,3,2
55K-1437,3.67,2.67,4,3.67
55K-1438,3.33,3,2.33,1.67
55K-1439,3.67,3,2.67,3.67
55K-1442,4,2,2.33,2.67
55K-1443,2.67,1,2.33,2.33
55K-1444,4,3.67,3.33,3.67
55K-1445,2.33,2,1,2.67
55K-1447,1,4,1.67,1.33
55K-1449,2.67,2.33,2,3
55K-1451,3.33,2.67,2.33,2.33
55K-1454,4,2.67,2.67,2.33
55K-1455,3,2.67,2.67,2.67
55K-1456,2.33,2.33,1.67,2
55K-1457,2.33,1.33,2.33,1.67
55K-1458,3,3,3,2.67
55K-1460,3.33,1.67,1,1
55K-1461,4,4,4,4
55K-1463,2.67,2.67,3,3.33
55K-1465,4,3.67,4,4
55K-1466,2,2,2.67,2.33
55K-1467,3,2.33,2.67,2.67
55K-1468,2.33,1.67,1.67,2.67
55K-1469,3.33,4,2.67,2
55K-1471,2,1.33,2.33,1.67
55K-1473,4,4,4,4
55K-1474,4,3.33,3.67,3
55K-1475,4,2.67,1.67,2.67
55K-1478,3.33,2.67,3,3.33
55K-1480,2.33,2.33,2.67,3.33
55K-1482,3.33,1.67,2.67,1.33
55K-1483,3.67,3,3.33,3
55K-1485,1.33,2.67,3.33,3.33
55K-1487,3,2,1,1.33
55K-1490,2,2,4,2
55K-1491,4,3,1,2
55K-1494,4,2.33,3.33,3.67
55K-1495,2,2.33,2.33,2.33
55K-1496,4,3.33,4,3.67
55K-1497,2.33,3,2.33,2.33
55K-1500,2,2.33,4,2.67
55K-1503,2.33,2.33,2.33,2
55K-1504,4,3.67,3.67,3
55K-1505,3,3,3,2.67
55K-1506,1,2,3.67,3
55K-1507,1.33,2,2,2
55K-1508,3,2.33,1.67,2.67
55K-1509,3,3,2,2.67
55K-1511,2.67,2,2.33,2.67
55K-1512,2.67,2,2.67,2.33
55K-1515,1.67,2,2.67,1.33
55K-1516,1.67,1.67,1.67,1.67
55K-1517,2,1,4,1.33
55K-1518,2.33,2,2.67,3.33
55K-1519,2.67,2.67,3.33,3.33
55K-1520,2.33,2.33,1.33,2.67
55K-1521,2.67,2.33,3.67,1.67
55K-1525,1,1.33,2.33,2
55K-1528,2.33,2,2.33,3.33
55K-1529,2.67,2,2.67,2.33
55K-1531,4,3,4,3.67
55K-1532,4,3,1.67,3
55K-1535,1.33,1.33,3.33,1.33
55K-1536,1.67,2,1,3.67
55K-1537,3.33,2,2.67,3.33
55K-1540,3.67,2.67,2,3.67
55K-1543,2.33,3.33,1.67,2.67
55K-1547,2,2,2,2.67
55K-1548,2.33,1,3,2.33
55K-1549,2,2.33,2,2.67
55K-1551,2.67,1.33,3.67,1.33
55K-1553,2.33,2,3.67,2.33
55K-1562,4,4,4,4
55K-1565,2.33,1.67,1.33,1.67
55K-1567,1.67,3.33,3.33,2
55K-1568,1.33,1.67,2,1.33
55K-1570,4,4,4,3.67
55K-1577,4,3.33,3.33,2.67
55K-1580,2,3,2.33,2.33
55K-1582,3,1.33,2.33,1.67
55K-1586,3,2.33,3.33,2.33
55K-1589,1.67,3,2.33,2.67
55K-1593,3.33,2.67,3,1.67
55K-1597,4,2.67,3,2.33
55K-1598,3,2.67,2.67,3
55K-1600,2,2,1.33,2.33
55K-1601,1.33,1.67,3.67,2
55K-1603,1,2.33,1.67,3
