ID,Physics,Digital Logic Design,Comp. Organization & Assembly Lang.,Operating Systems,SUM1,SUM2,SUM3,SUM4,SUM5,SUM6,Computer Architecture
11K-2346,58,62,50,82,64.8,63.6,68,69.6,83.2,74.4,50
55K-1401,70,62,62,62,62.8,63.6,62.8,64.4,76,62.8,66
55K-1406,70,74,78,74,75.2,74.4,74.8,73.2,88.8,74,78
55K-1409,74,78,78,74,76,76,75.6,74.8,90.4,74.8,70
55K-1412,66,70,86,58,71.2,70.4,68.4,64.4,79.2,62.8,54
55K-1416,66,62,70,70,68.8,67.6,68.8,68,81.6,68.8,50
55K-1421,62,70,70,66,67.6,67.2,67.2,65.6,80,66.4,50
55K-1423,58,70,50,66,59.2,60.4,60.8,62.4,75.2,64,58
55K-1425,66,74,78,66,71.6,71.2,70.4,68,83.2,68,54
55K-1429,62,74,62,74,68,68,69.2,69.2,84,71.6,74
55K-1430,62,74,74,70,71.2,70.4,70.8,68.4,84,70,54
55K-1432,50,74,78,66,70,68,68.8,63.2,80,66.4,62
55K-1437,70,82,82,70,76,76,74.8,72.4,88.8,72.4,70
55K-1438,62,70,54,54,56.4,58.8,56.4,58,69.6,56.4,50
55K-1439,74,78,78,78,77.6,77.2,77.6,76.8,92.8,77.6,86
55K-1443,66,74,74,54,65.2,66.4,63.2,61.6,75.2,59.2,70
55K-1445,62,74,70,66,68,68,67.6,66,80.8,66.8,58
55K-1447,74,66,70,74,71.6,71.2,72,72.8,86.4,72.8,74
55K-1451,62,74,78,62,69.6,69.2,68,64.8,80,64.8,66
55K-1455,62,74,66,70,68,68,68.4,67.6,82.4,69.2,74
55K-1456,62,74,50,70,61.6,63.2,63.6,66,79.2,67.6,54
55K-1457,62,66,66,54,60.8,61.6,59.6,58.8,71.2,57.2,62
55K-1460,0,66,58,62,54.6,49.2,55,43.4,62,55.8,58
55K-1461,86,86,86,86,86,86,86,86,103.2,86,70
55K-1463,62,78,66,74,70,70,70.8,70,85.6,72.4,62
55K-1466,66,74,62,66,65.2,66.4,65.6,66.4,80,66.4,66
55K-1467,82,78,78,78,78.4,78.8,78.4,79.2,94.4,78.4,70
55K-1468,66,74,82,66,73.2,72.4,71.6,68.4,84,68.4,74
55K-1471,58,66,54,62,58.8,59.6,59.6,60.4,72.8,61.2,50
55K-1473,86,82,86,82,84,84,83.6,83.6,100,82.8,86
55K-1474,58,82,82,74,76.4,74.8,75.6,70.8,88.8,74,78
55K-1475,86,78,78,74,77.2,78.4,76.8,78.4,92.8,76,70
55K-1480,70,70,86,74,78,76,76.8,73.6,89.6,74.4,70
55K-1482,54,70,50,66,58.8,59.6,60.4,61.2,74.4,63.6,58
55K-1483,78,78,86,78,81.2,80.4,80.4,78.8,95.2,78.8,70
55K-1485,58,70,74,70,70.4,68.8,70,66.8,82.4,69.2,62
55K-1487,66,58,62,62,62,62,62,62.8,74.4,62,50
55K-1490,54,66,50,66,58.4,58.8,60,60.8,73.6,63.2,54
55K-1491,66,74,50,66,60.4,62.8,62,65.2,77.6,65.2,54
55K-1495,58,70,78,62,68.8,67.6,67.2,63.2,78.4,64,58
55K-1496,74,86,86,78,81.6,81.2,80.8,78.4,96,79.2,86
55K-1500,78,74,74,82,77.6,77.2,78.4,79.2,94.4,80,82
55K-1503,62,66,50,74,62.4,62.8,64.8,67.2,80,69.6,50
55K-1505,70,74,78,62,70.4,70.8,68.8,67.2,81.6,65.6,70
55K-1506,66,66,50,70,61.2,62.4,63.2,66.4,78.4,67.2,66
55K-1507,54,70,70,78,71.6,69.2,72.4,69.2,85.6,74,62
55K-1508,70,74,70,62,67.2,68.4,66.4,66.4,80,64.8,66
55K-1512,70,74,74,62,68.8,69.6,67.6,66.8,80.8,65.2,66
55K-1515,62,66,62,70,65.6,65.2,66.4,66.4,80,68,70
55K-1516,58,66,70,62,65.2,64.4,64.4,62,76,62.8,62
55K-1517,62,74,66,62,64.8,65.6,64.4,63.6,77.6,63.6,58
55K-1519,78,78,86,74,79.6,79.2,78.4,76.8,92.8,76,70
55K-1520,62,70,70,66,67.6,67.2,67.2,65.6,80,66.4,62
55K-1521,54,70,86,70,74.8,71.6,73.2,66.8,84,70,62
55K-1525,66,74,50,50,54,58,54,57.2,68,54,50
55K-1531,82,86,74,82,79.2,80.4,80,81.6,97.6,81.6,70
55K-1535,54,66,70,62,64.8,63.6,64,60.8,75.2,62.4,62
55K-1536,70,74,62,62,64,66,64,65.6,78.4,64,70
55K-1543,54,66,58,54,56.8,57.6,56.4,55.6,68,55.6,50
55K-1547,58,70,66,66,65.6,65.2,65.6,64,78.4,65.6,50
55K-1549,70,74,70,70,70.4,70.8,70.4,70.4,84.8,70.4,70
55K-1551,62,74,70,62,66.4,66.8,65.6,64,78.4,64,58
55K-1553,66,70,66,62,64.8,65.6,64.4,64.4,77.6,63.6,54
55K-1565,54,82,78,54,66.4,66.8,64,59.2,75.2,59.2,50
55K-1567,54,74,54,70,62.4,62.8,64,64,78.4,67.2,50
55K-1570,86,82,86,70,79.2,80.4,77.6,77.6,92.8,74.4,70
55K-1577,74,74,74,66,70.8,71.6,70,70,84,68.4,70
55K-1580,54,74,50,74,62.4,62.8,64.8,65.6,80,69.6,62
55K-1586,62,66,74,70,70.4,68.8,70,67.6,82.4,69.2,58
55K-1600,62,74,62,70,66.4,66.8,67.2,67.2,81.6,68.8,58
55K-1603,62,74,70,58,64.8,65.6,63.6,62,76,61.2,54
55K-1605,58,74,50,66,59.6,61.2,61.2,62.8,76,64.4,66
55K-1606,66,66,50,58,56.4,58.8,57.2,60.4,71.2,58.8,54
55K-1607,58,74,78,54,66,66,63.6,59.6,74.4,58.8,58
55K-1609,70,70,50,62,58.8,61.6,60,64,75.2,62.4,58
55K-1610,78,78,78,82,79.6,79.2,80,80,96,80.8,82
56K-1402,58,66,86,50,66.8,65.6,63.2,57.6,72,56,66
56K-1403,50,86,74,70,71.2,70.4,70.8,66,84,70,86
56K-1407,58,78,82,66,72.8,71.6,71.2,66.4,83.2,68,82
56K-1409,66,86,86,78,80.8,79.6,80,76,94.4,78.4,86
56K-1410,62,78,82,66,73.2,72.4,71.6,67.6,84,68.4,78
56K-1413,58,62,78,62,68,66,66.4,62.4,76.8,63.2,66
56K-1416,70,82,86,78,80.8,79.6,80,76.8,94.4,78.4,86
56K-1417,86,82,86,78,82.4,82.8,81.6,81.6,97.6,80,86
56K-1418,66,74,82,70,74.8,73.6,73.6,70.4,86.4,71.2,78
56K-1419,78,82,86,62,75.2,76.4,72.8,71.2,86.4,68,70
56K-1420,62,74,86,86,82.4,78.8,82.4,77.6,96,82.4,78
56K-1422,58,62,86,58,69.6,67.2,66.8,61.2,76,61.2,66
56K-1424,62,70,62,66,64.4,64.8,64.8,64.8,78.4,65.6,58
56K-1425,54,58,74,66,67.2,64.4,66.4,62.4,76.8,64.8,66
56K-1426,74,70,86,78,80,78,79.2,76.8,92.8,77.6,82
56K-1427,78,78,86,78,81.2,80.4,80.4,78.8,95.2,78.8,86
56K-1430,58,82,78,70,73.2,72.4,72.4,68.4,85.6,70.8,66
56K-1431,58,74,74,58,66,66,64.4,61.2,76,61.2,78
56K-1432,54,70,54,66,60.4,60.8,61.6,61.6,75.2,64,54
56K-1433,82,74,74,70,73.2,74.4,72.8,74.4,88,72,70
56K-1434,70,70,78,58,68.4,68.8,66.4,64.8,78.4,62.4,70
56K-1435,50,66,70,54,61.2,60.4,59.6,55.6,69.6,56.4,66
56K-1436,62,66,82,58,68.8,67.6,66.4,62.4,76.8,61.6,70
56K-1437,66,78,74,50,64,66,61.6,60,73.6,56.8,66
56K-1438,66,70,62,62,63.2,64.4,63.2,64,76.8,63.2,58
56K-1441,74,66,70,62,66.8,67.6,66,66.8,79.2,64.4,70
56K-1442,54,78,70,74,70.8,69.6,71.2,68,84.8,72,78
56K-1447,54,78,78,66,70.8,69.6,69.6,64.8,81.6,67.2,74
56K-1448,86,66,62,62,64.8,67.6,64.8,69.6,80,64.8,70
56K-1450,62,66,78,50,64,64,61.2,58,71.2,55.6,66
56K-1454,62,82,86,70,76.8,75.6,75.2,70.4,88,72,82
