SUM,Database Systems
66,66
59.6,70
62,70
75.6,78
72.4,74
74.8,82
70,66
79.6,58
60.4,58
66.8,62
54,66
70,66
70,74
72.4,82
76.4,62
71.6,66
67.6,66
74,66
86,86
69.2,66
68.4,62
75.6,82
73.2,58
74.8,82
67.6,70
57.2,66
82,82
60.4,70
73.2,54
66,74
70.8,66
73.2,66
70.8,70
64.4,62
58.8,58
74,70
60.4,50
86,86
70.8,78
83.6,86
63.6,66
68.4,70
59.6,70
81.2,62
58,58
86,86
80.4,74
70.8,70
72.4,78
66.8,78
64.4,54
76.4,74
68.4,78
62,54
66.8,62
71.6,62
72.4,82
65.2,66
81.2,82
70.8,66
69.2,70
66,62
82.8,74
74,70
63.6,74
60.4,62
66,70
71.6,70
64.4,70
65.2,66
62.8,54
58,58
59.6,54
64.4,78
71.6,78
63.6,70
70,58
55.6,62
63.6,78
65.2,66
78.8,82
73.2,74
58.8,54
58.8,82
66.8,78
70.8,82
71.6,70
62,70
58,66
64.4,70
62.8,54
66.8,66
86,86
58.8,58
74,62
58,54
86,82
79.6,70
70,66
60.4,58
70,66
69.2,70
72.4,58
74,66
70.8,74
60.4,66
62,62
61.2,74
61.2,58
63.6,54
63.6,58
67.6,70
58,50
82.8,78
70,66
52.4,66
51.6,58
70.8,74
65.2,74
82,74
65.2,58
83.6,74
70,66
71.6,86
66.8,62
70,70
86,74
75.6,78
84.4,86
74,66
82.8,78
83.6,78
65.2,62
63.6,70
68.4,54
58.8,70
77.2,78
80.4,74
72.4,54
67.6,54
62,66
62,62
58.8,54
76.4,58
74.8,78
60.4,62
77.2,62
74.8,58
64.4,66
63.6,58
74.8,58
68.4,62
70,54
71.6,82
70.8,58
71.6,74
61.2,54
67.6,54
64.4,58
66.8,66
59.6,62
54.8,74
58.8,54
69.2,62
58,62
70.8,58
65.2,66
71.6,70
68.4,66
65.2,66
61.2,58
58,58
76.4,86
65.2,58
86,82
66,70
65.2,62
68.4,58
79.6,66
77.2,62
71.6,66
64.4,62
58,58
76.4,74
65.2,70
65.2,58
66,58
73.2,62
67.6,58
69.2,54
61.2,62
64.4,62
62.8,58
58,62
66.8,74
73.2,62
74,58
65.2,74
70,62
69.2,62
71.6,54
77.2,62
58.8,50
71.6,62
71.6,50
62.8,50
82.8,50
74,50
78,86
76.4,86
67.6,86
86,78
63.6,78
70.8,82
77.2,66
80.4,70
79.6,78
66,66
58.8,66
86,78
74.8,70
60.4,78
73.2,74
74,66
71.6,82
74.8,70
59.6,58
63.6,82
65.2,66
69.2,62
81.2,62
66.8,58
68.4,62
68.4,58
62.8,62
64.4,58
72.4,62
81.2,70
65.2,62
68.4,74
71.6,62
76.4,78
67.6,70
63.6,66
62.8,62
75.6,78
66,66
54.8,58
62,58
61.2,54
66,62
73.2,62
64.4,62
59.6,62
69.2,74
77.2,58
51.6,58
65.2,74
76.4,74
59.6,70
76.4,54
83.6,82
64.4,54
71.6,82
68.4,66
81.2,54
58,66
61.2,74
67.6,58
63.6,62
72.4,74
77.2,50
58,54
58,58
65.2,66
70,50
56.4,50
69.2,66
75.6,70
62.8,66
63.6,58
74.8,54
66,70
57.2,66
58,58
71.6,74
73.2,70
62,70
74.8,54
68.4,58
66,58
81.2,70
66,54
55.6,66
66,74
75.6,62
66,66
80.4,70
