ID	ENG1	ENG2	SUM1	Technical and Business Writing
11K-2346	70	66	68	70
55K-1401	78	78	78	78
55K-1404	78	82	80	74
55K-1406	54	54	58	70
55K-1408	70	74	72	78
55K-1409	78	86	82	74
55K-1411	78	78	78	70
55K-1412	82	78	80	82
55K-1414	86	86	86	86
55K-1416	74	70	72	74
55K-1417	70	58	64	74
55K-1418	74	74	74	66
55K-1421	54	58	60	78
55K-1423	78	74	76	86
55K-1424	82	82	82	82
55K-1425	54	66	64	86
55K-1427	86	82	84	86
55K-1429	54	70	66	78
55K-1430	54	58	60	78
55K-1431	86	86	86	78
55K-1432	54	70	66	78
55K-1434	70	74	72	86
55K-1437	82	78	80	78
55K-1438	66	70	68	74
55K-1439	66	70	68	86
55K-1441	74	82	78	74
55K-1442	86	86	86	86
55K-1443	70	78	74	78
55K-1444	78	82	80	66
55K-1445	70	74	72	82
55K-1447	66	78	72	70
55K-1449	54	70	66	74
55K-1451	54	66	64	78
55K-1454	82	82	82	70
55K-1455	70	74	72	70
55K-1456	78	78	78	78
55K-1457	58	54	56	62
55K-1458	70	78	74	86
55K-1460	78	78	78	74
55K-1461	86	86	86	86
55K-1463	78	78	78	82
55K-1465	86	86	86	86
55K-1466	54	54	62	66
55K-1467	78	70	74	70
55K-1468	78	82	80	74
55K-1469	78	82	80	86
55K-1471	66	66	66	78
55K-1473	82	82	82	78
55K-1474	66	74	70	86
55K-1475	86	82	84	70
55K-1478	82	78	80	70
55K-1480	66	74	70	86
55K-1482	58	54	56	74
55K-1483	82	78	80	82
55K-1485	70	66	68	66
55K-1487	66	66	66	74
55K-1490	66	70	68	66
55K-1491	82	78	80	78
55K-1494	74	82	78	70
55K-1495	74	74	74	74
55K-1496	74	82	78	82
55K-1497	54	54	58	70
55K-1500	70	74	72	82
55K-1503	74	74	74	78
55K-1504	74	78	76	78
55K-1505	66	74	70	78
55K-1506	66	70	68	70
55K-1507	54	58	60	86
55K-1508	78	86	82	86
55K-1509	82	82	82	86
55K-1512	66	54	64	74
55K-1515	82	70	76	66
55K-1516	74	66	70	70
55K-1517	66	78	72	70
55K-1518	66	66	66	78
55K-1519	70	78	74	70
55K-1520	74	82	78	74
55K-1521	78	74	76	82
55K-1525	54	58	60	82
55K-1528	70	78	74	70
55K-1529	54	54	54	62
55K-1531	82	82	82	74
55K-1532	82	70	76	66
55K-1535	78	70	74	78
55K-1536	74	78	76	86
55K-1537	78	82	80	82
55K-1540	78	78	78	86
55K-1543	66	54	64	66
55K-1547	86	82	84	82
55K-1548	70	70	70	74
55K-1549	74	74	74	74
55K-1551	66	54	64	70
55K-1553	70	66	68	74
55K-1562	86	86	86	86
55K-1565	74	54	68	70
55K-1567	70	70	70	86
55K-1568	54	50	56	66
55K-1570	82	78	80	78
55K-1577	54	58	60	78
55K-1580	66	58	62	74
55K-1582	50	54	52	62
55K-1583	58	66	62	70
55K-1586	58	54	60	66
55K-1589	82	82	82	86
55K-1593	54	58	60	70
55K-1597	78	86	82	70
55K-1598	86	82	84	78
55K-1600	86	82	84	74
55K-1601	66	74	70	74
55K-1603	54	50	56	66
55K-1605	54	50	56	54
55K-1606	70	54	66	74
55K-1607	74	58	66	54
55K-1608	70	78	74	70
55K-1609	54	54	58	66
55K-1610	74	82	78	78
55K-1753	74	66	70	62
56K-1401	78	78	78	86
56K-1402	78	70	74	86
56K-1403	74	74	74	70
56K-1405	78	74	76	74
56K-1406	74	82	78	82
56K-1407	74	82	78	86
56K-1409	86	78	82	82
56K-1410	74	66	70	78
56K-1412	82	78	80	86
56K-1413	74	86	80	78
56K-1414	70	54	66	66
56K-1415	86	86	86	82
56K-1416	86	74	80	82
56K-1417	86	86	86	86
56K-1418	82	86	84	78
56K-1419	82	82	82	78
56K-1420	86	86	86	86
56K-1422	82	74	78	86
56K-1423	70	70	70	70
56K-1424	74	82	78	86
56K-1425	70	66	68	78
56K-1426	86	86	86	86
56K-1427	82	78	80	82
56K-1428	74	50	62	70
56K-1429	58	54	56	58
56K-1430	66	66	66	78
56K-1431	82	86	84	82
56K-1432	70	66	68	62
56K-1433	86	86	86	86
56K-1434	78	70	74	82
56K-1435	86	74	80	66
56K-1436	74	70	72	82
56K-1437	70	78	74	70
56K-1438	70	70	70	58
56K-1441	74	74	74	70
56K-1442	66	58	62	70
56K-1445	86	86	86	86
56K-1446	54	50	52	66
56K-1447	74	66	70	66
56K-1448	70	54	66	50
56K-1449	82	86	84	86
56K-1450	70	70	70	74
56K-1451	70	82	76	78
56K-1454	82	86	84	86
56K-1455	74	58	66	62
56K-1457	78	86	82	86
56K-1458	54	50	56	54
56K-1459	86	86	86	86
56K-1460	54	54	62	66
56K-1461	86	86	86	86
56K-1462	86	86	86	86
56K-1463	78	82	80	78
56K-1464	78	82	80	86
56K-1465	82	78	80	74
56K-1466	58	66	62	54
56K-1470	66	70	68	58
56K-1472	66	58	62	66
56K-1473	74	78	76	70
56K-1474	82	82	82	86
56K-1475	66	54	60	66
56K-1477	82	82	82	74
56K-1479	70	74	72	82
56K-1480	66	54	64	50
56K-1481	58	50	54	70
56K-1483	54	70	66	62
56K-1484	70	66	68	70
56K-1486	70	70	70	66
56K-1487	86	82	84	82
56K-1489	74	78	76	74
